Keyword,Location,Job_title,Job_link,Company,Company_link,Job_location,Post_time,Applicants_count,Job_description,Seniority_level,Employment_type,Job_function,Industries
,,Software Developer,https://www.linkedin.com/jobs/view/legal-assistant-family-law-at-adam-l-seidel-p-c-3787832520?refId=V58oEYY%2BPAWqjnmVMmtvnw%3D%3D&trackingId=i2c9uNJFiGK%2BMqOMCH1vFA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                DataAnnotation
              ",https://www.linkedin.com/company/dataannotationtech?trk=public_jobs_topcard-org-name,"
              Dallas, TX
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      8 hours ago
  
      ","
          
          
            Be among the first 25 applicants
          
        ","
        Software Developer (Contract)DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.We are looking for a proficient Software Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.Benefits:This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $35+ USD per hour, with bonuses for high-quality and high-volume workResponsibilities:Come up with diverse problems and solutions for a coding chatbotWrite high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performanceQualifications:Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)Previous experience as a Software Developer, Coder, Software Engineer, or Programmer
      ","
            Not Applicable
          ","
          Contract
        ","
            Engineering
          ","
          Software Development
          "
,,Software Developer,https://www.linkedin.com/jobs/view/software-developer-at-dataannotation-3788214904?refId=V58oEYY%2BPAWqjnmVMmtvnw%3D%3D&trackingId=%2FuSX6bsR6hWoVwVgMSFxIA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                DataAnnotation
              ",https://www.linkedin.com/company/dataannotationtech?trk=public_jobs_topcard-org-name,"
              Dallas, TX
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      8 hours ago
  
      ","
          
          
            Be among the first 25 applicants
          
        ","Software Developer (Contract)




DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.




We are looking for a proficient Software Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.




In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.




Benefits:




This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, starting at $35+ USD per hour, with bonuses for high-quality and high-volume work




Responsibilities:




Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance




Qualifications:




Fluency in English (native or bilingual)
Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Previous experience as a Software Developer, Coder, Software Engineer, or Programmer","
            Not Applicable
          ","
          Contract
        ","
            Engineering
          ","
          Software Development
          "
,,Business Intelligence Team Leader,https://www.linkedin.com/jobs/view/business-intelligence-team-leader-at-business-centric-technology-3787894505?refId=V58oEYY%2BPAWqjnmVMmtvnw%3D%3D&trackingId=wDJg8berAU7VLilc02%2B%2F8A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Business Centric Technology
              ",https://www.linkedin.com/company/avizion-technologies-group?trk=public_jobs_topcard-org-name,"
              Plano, TX
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      17 hours ago
  
      ","
          35 applicants
        ","Ready to take on an exciting new challenge with a dynamic team? We're actively seeking a skilled Business Intelligence Team Leader (401K Solutions Team) for a direct hire opportunity in Dallas.




WHAT OUR CLIENT OFFERS:

100% paid medical, dental, and vision premiums for you and your qualifying dependents
A 50% 401(K) match, up to the IRS maximum
20 days of PTO*, plus 10 paid holidays
Family Support programs including 8 weeks of Paid Primary Caregiver leave, adoption assistance and back-up childcare
Opportunity to participate in our hybrid work-from-home test. This program is a pilot test and subject to change. Based on tenure and performance eligibility, you will have the opportunity to work from home up to 100 days per year




COMPENSATION: $160K-$180K base, plus bonus depending on candidate experience, etc.




RESPONSIBILITIES:

The 401K Solutions Business Intelligence (BI) Team Leader (TL) is responsible for overseeing and managing the 401k Solutions Business Intelligence team. This is a technical role requiring someone with strong business and technical acumen.




Interview, evaluate, and recommend candidates to hire.
Managerial responsibilities including participating in disciplinary actions and/or terminations for direct reports, as appropriate.
Manages all phases of various projects from envisioning through deployment.
Builds and maintains key internal stakeholder relationships across Client Acquisition, Client Service, and Shared Services.
Establishes and maintains a program management structure, and the capacity to execute key functional programs.
Oversees BI resource planning and oversight on scrum development.
Utilizes an advanced understanding of multiple data structures and sources to lead the design, development, and implementation of decision support solutions, which may include data visualization, business intelligence, or data collection.
Leads deep-dive discussions into operational analysis and gap reporting to identify defects, opportunities, and efficiencies across teams. Identifies, develops, and executes data analysis to monitor operational performance and customer trends to uncover areas of opportunity.




QUALIFICATIONS:

Bachelor’s degree or equivalent combination of education and similar experience required
Cloud-deployed data layer experience required
Experience with BI development leveraging Microsoft SQL Server, Oracle, MySQL, DB2 (or similar RDBMS platforms) with exposure to MongoDB (or similar) preferred
5 years of financial services industry experience preferred
Ability to identify opportunities for increased efficiency and effectiveness




Apply now! Contact us at 972-267-7950 or info@bct-corp.com for more details.

CP #8336","
            Mid-Senior level
          ","
          Full-time
        ","
            Information Technology
          ","
          Financial Services
          "
,,Business Intelligence Team Leader,https://www.linkedin.com/jobs/view/software-developer-at-dataannotation-3788217640?refId=V58oEYY%2BPAWqjnmVMmtvnw%3D%3D&trackingId=3RfaNzYgkhldN8BOSHidng%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Business Centric Technology
              ",https://www.linkedin.com/company/avizion-technologies-group?trk=public_jobs_topcard-org-name,"
              Plano, TX
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      17 hours ago
  
      ","
          35 applicants
        ","
        Ready to take on an exciting new challenge with a dynamic team? We're actively seeking a skilled Business Intelligence Team Leader (401K Solutions Team) for a direct hire opportunity in Dallas.WHAT OUR CLIENT OFFERS: 100% paid medical, dental, and vision premiums for you and your qualifying dependentsA 50% 401(K) match, up to the IRS maximum20 days of PTO*, plus 10 paid holidaysFamily Support programs including 8 weeks of Paid Primary Caregiver leave, adoption assistance and back-up childcareOpportunity to participate in our hybrid work-from-home test. This program is a pilot test and subject to change. Based on tenure and performance eligibility, you will have the opportunity to work from home up to 100 days per yearCOMPENSATION: $160K-$180K base, plus bonus depending on candidate experience, etc.RESPONSIBILITIES:The 401K Solutions Business Intelligence (BI) Team Leader (TL) is responsible for overseeing and managing the 401k Solutions Business Intelligence team. This is a technical role requiring someone with strong business and technical acumen.Interview, evaluate, and recommend candidates to hire.Managerial responsibilities including participating in disciplinary actions and/or terminations for direct reports, as appropriate.Manages all phases of various projects from envisioning through deployment.Builds and maintains key internal stakeholder relationships across Client Acquisition, Client Service, and Shared Services.Establishes and maintains a program management structure, and the capacity to execute key functional programs.Oversees BI resource planning and oversight on scrum development.Utilizes an advanced understanding of multiple data structures and sources to lead the design, development, and implementation of decision support solutions, which may include data visualization, business intelligence, or data collection.Leads deep-dive discussions into operational analysis and gap reporting to identify defects, opportunities, and efficiencies across teams. Identifies, develops, and executes data analysis to monitor operational performance and customer trends to uncover areas of opportunity.QUALIFICATIONS:Bachelor’s degree or equivalent combination of education and similar experience requiredCloud-deployed data layer experience requiredExperience with BI development leveraging Microsoft SQL Server, Oracle, MySQL, DB2 (or similar RDBMS platforms) with exposure to MongoDB (or similar) preferred5 years of financial services industry experience preferredAbility to identify opportunities for increased efficiency and effectivenessApply now! Contact us at 972-267-7950 or info@bct-corp.com for more details.CP #8336
      ","
            Mid-Senior level
          ","
          Full-time
        ","
            Information Technology
          ","
          Financial Services
          "
,,Software Developer,https://www.linkedin.com/jobs/view/software-developer-at-dataannotation-3788219313?refId=V58oEYY%2BPAWqjnmVMmtvnw%3D%3D&trackingId=Y4cH58LAOqA%2BUwM3jdjaRw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                DataAnnotation
              ",https://www.linkedin.com/company/dataannotationtech?trk=public_jobs_topcard-org-name,"
              Irving, TX
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      8 hours ago
  
      ","
          
          
            Be among the first 25 applicants
          
        ","Software Developer (Contract)




DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.




We are looking for a proficient Software Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.




In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.




Benefits:




This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, starting at $35+ USD per hour, with bonuses for high-quality and high-volume work




Responsibilities:




Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance




Qualifications:




Fluency in English (native or bilingual)
Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Previous experience as a Software Developer, Coder, Software Engineer, or Programmer","
            Not Applicable
          ","
          Contract
        ","
            Engineering
          ","
          Software Development
          "
,,Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-at-dataannotation-3788218784?refId=V58oEYY%2BPAWqjnmVMmtvnw%3D%3D&trackingId=Rlvs8sY8buoi2gTeejhAFA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                DataAnnotation
              ",https://www.linkedin.com/company/dataannotationtech?trk=public_jobs_topcard-org-name,"
              Irving, TX
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      6 hours ago
  
      ","
          
          
            Be among the first 25 applicants
          
        ","DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.




We are looking for a proficient Software Engineer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.




In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.




Benefits:




This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, starting at $35+ USD per hour, with bonuses for high-quality and high-volume work




Responsibilities:




Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance




Qualifications:




Fluency in English (native or bilingual)
Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Previous experience as a Software Developer, Coder, Software Engineer, or Programmer","
            Not Applicable
          ","
          Contract
        ","
            Engineering
          ","
          Software Development
          "
,,Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-at-dataannotation-3788223050?refId=V58oEYY%2BPAWqjnmVMmtvnw%3D%3D&trackingId=sGI%2BBPxqPUApqTHjuY5Q7A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                DataAnnotation
              ",https://www.linkedin.com/company/dataannotationtech?trk=public_jobs_topcard-org-name,"
              Irving, TX
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      6 hours ago
  
      ","
          
          
            Be among the first 25 applicants
          
        ","
        DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.We are looking for a proficient Software Engineer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.Benefits:This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $35+ USD per hour, with bonuses for high-quality and high-volume workResponsibilities:Come up with diverse problems and solutions for a coding chatbotWrite high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performanceQualifications:Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)Previous experience as a Software Developer, Coder, Software Engineer, or Programmer
      ","
            Not Applicable
          ","
          Contract
        ","
            Engineering
          ","
          Software Development
          "
,,Software Developer,https://www.linkedin.com/jobs/view/software-developer-at-dataannotation-3788217637?refId=V58oEYY%2BPAWqjnmVMmtvnw%3D%3D&trackingId=kfaDy3bpZfWXzI7XRkIuWA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                DataAnnotation
              ",https://www.linkedin.com/company/dataannotationtech?trk=public_jobs_topcard-org-name,"
              Plano, TX
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      8 hours ago
  
      ","
          
          
            Be among the first 25 applicants
          
        ","Software Developer (Contract)




DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.




We are looking for a proficient Software Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.




In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.




Benefits:




This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, starting at $35+ USD per hour, with bonuses for high-quality and high-volume work




Responsibilities:




Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance




Qualifications:




Fluency in English (native or bilingual)
Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Previous experience as a Software Developer, Coder, Software Engineer, or Programmer","
            Not Applicable
          ","
          Contract
        ","
            Engineering
          ","
          Software Development
          "
,,Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-at-dataannotation-3788218824?refId=V58oEYY%2BPAWqjnmVMmtvnw%3D%3D&trackingId=EPA41shrJLn7eKIkgbWynQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                DataAnnotation
              ",https://www.linkedin.com/company/dataannotationtech?trk=public_jobs_topcard-org-name,"
              Plano, TX
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      6 hours ago
  
      ","
          
          
            Be among the first 25 applicants
          
        ","DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.




We are looking for a proficient Software Engineer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.




In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.




Benefits:




This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, starting at $35+ USD per hour, with bonuses for high-quality and high-volume work




Responsibilities:




Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance




Qualifications:




Fluency in English (native or bilingual)
Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Previous experience as a Software Developer, Coder, Software Engineer, or Programmer","
            Not Applicable
          ","
          Contract
        ","
            Engineering
          ","
          Software Development
          "
,,Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-at-dataannotation-3788217934?refId=V58oEYY%2BPAWqjnmVMmtvnw%3D%3D&trackingId=6AWL7UxXOtIfOPVhPrjpFg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                DataAnnotation
              ",https://www.linkedin.com/company/dataannotationtech?trk=public_jobs_topcard-org-name,"
              Plano, TX
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      6 hours ago
  
      ","
          
          
            Be among the first 25 applicants
          
        ","
        DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.We are looking for a proficient Software Engineer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL) and able to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.Benefits:This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $35+ USD per hour, with bonuses for high-quality and high-volume workResponsibilities:Come up with diverse problems and solutions for a coding chatbotWrite high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performanceQualifications:Fluency in English (native or bilingual)Proficient in at least one programming language (Python, JavaScript, HTML, C++, C# and SQL)Excellent writing and grammar skillsA bachelor's degree (completed or in progress)Previous experience as a Software Developer, Coder, Software Engineer, or Programmer
      ","
            Not Applicable
          ","
          Contract
        ","
            Engineering
          ","
          Software Development
          "
